iter	Passed	Remaining
0	6	6732
1	12	6016
2	17	5970
3	23	5972
4	29	5882
5	35	5850
6	41	5827
7	46	5746
8	52	5742
9	57	5703
10	62	5660
11	69	5681
12	74	5637
13	79	5603
14	86	5657
15	92	5667
16	97	5654
17	103	5647
18	108	5613
19	114	5615
20	120	5617
21	125	5594
22	132	5611
23	137	5605
24	143	5577
25	148	5573
26	154	5551
27	159	5527
28	164	5523
29	170	5510
30	175	5493
31	181	5489
32	186	5468
33	191	5454
34	197	5450
35	202	5431
36	208	5420
37	214	5421
38	220	5424
39	226	5433
40	232	5442
41	238	5434
42	244	5431
43	250	5433
44	255	5419
45	260	5408
46	267	5417
47	272	5402
48	278	5397
49	284	5398
50	289	5381
51	295	5380
52	300	5372
53	305	5358
54	311	5358
55	317	5344
56	322	5332
57	328	5331
58	334	5330
59	339	5323
60	345	5319
61	351	5311
62	356	5302
63	362	5304
64	367	5291
65	374	5293
66	379	5287
67	385	5284
68	391	5282
69	397	5275
70	402	5265
71	408	5262
72	413	5255
73	420	5256
74	425	5253
75	431	5250
76	437	5241
77	442	5235
78	448	5232
79	454	5224
80	460	5221
81	465	5209
82	470	5199
83	476	5196
84	481	5186
85	487	5177
86	493	5181
87	499	5175
88	504	5168
89	510	5163
90	515	5152
91	521	5147
92	527	5140
93	532	5130
94	538	5126
95	544	5122
96	549	5113
97	555	5112
98	560	5104
99	566	5094
100	572	5092
101	577	5083
102	582	5073
103	588	5069
104	593	5062
105	599	5054
106	604	5048
107	610	5040
108	615	5032
109	621	5030
110	626	5020
111	632	5015
112	638	5015
113	644	5007
114	649	5000
115	655	4996
116	660	4987
117	666	4981
118	671	4974
119	676	4964
120	682	4955
121	687	4949
122	693	4941
123	698	4935
124	704	4933
125	709	4924
126	715	4916
127	721	4913
128	726	4905
129	732	4900
130	738	4897
131	743	4889
132	749	4886
133	755	4881
134	760	4872
135	766	4869
136	772	4867
137	777	4859
138	784	4856
139	789	4848
140	794	4840
141	800	4837
142	806	4830
143	811	4823
144	817	4818
145	822	4809
146	829	4811
147	835	4806
148	839	4796
149	845	4793
150	851	4788
151	856	4780
152	862	4774
153	868	4769
154	873	4761
155	878	4754
156	884	4748
157	889	4740
158	895	4734
159	900	4730
160	907	4726
161	912	4722
162	918	4715
163	923	4709
164	929	4703
165	935	4697
166	940	4690
167	945	4684
168	951	4677
169	956	4671
170	962	4667
171	968	4664
172	974	4659
173	981	4659
174	987	4656
175	994	4654
176	1000	4650
177	1005	4645
178	1012	4642
179	1017	4634
180	1022	4626
181	1028	4622
182	1033	4614
183	1038	4606
184	1045	4604
185	1050	4597
186	1055	4590
187	1068	4615
188	1076	4620
189	1085	4629
190	1092	4626
191	1102	4640
192	1108	4635
193	1113	4627
